url_length,n_slash,n_questionmark,n_equal,n_at,n_and,n_exclamation,n_asterisk,n_hastag,n_percent,dots_per_length,hyphens_per_length,is_long_url,has_many_dots,has_ssl,is_cloudflare_protected,special_char_density,suspicious_tld_risk,has_redirects,risk_score,url_complexity,phishing
48,0,0,0,0,0,0,0,0,0,0.04081632653061224,0.04081632653061224,0,0,1,0,0.04081632653061224,0,0,-1.5918367346938775,2.08,0
101,0,1,3,0,2,0,0,0,0,0.0196078431372549,0.0,1,0,1,0,0.029411764705882353,2,0,0.2941176470588234,4.81,1
41,0,0,0,0,0,0,0,0,0,0.07142857142857142,0.0,0,0,1,1,0.0,0,0,-4.0,1.9100000000000001,0
43,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.0,0,0,0,0,0.0,2,0,0.0,2.43,1
15,0,0,0,0,0,0,0,0,0,0.0625,0.0,0,0,1,0,0.0,2,0,-2.0,0.65,0
42,0,0,0,0,0,0,0,0,0,0.06976744186046512,0.06976744186046512,0,0,1,0,0.06976744186046512,0,1,1.697674418604651,2.82,0
51,0,0,0,0,0,0,0,0,0,0.019230769230769232,0.057692307692307696,0,0,1,0,0.057692307692307696,1,1,1.576923076923077,1.91,0
48,0,0,0,0,0,0,0,0,0,0.061224489795918366,0.061224489795918366,0,0,1,0,0.061224489795918366,1,0,-1.3877551020408163,2.88,1
49,0,0,0,0,0,0,0,0,0,0.02,0.0,0,0,1,1,0.02,0,0,-3.8,0.99,0
25,0,1,1,0,0,0,0,0,0,0.038461538461538464,0.038461538461538464,0,0,0,0,0.07692307692307693,1,0,0.7692307692307693,2.45,1
49,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,1,0,0.04,0,0,-1.6,2.09,0
48,0,0,0,0,0,0,0,0,0,0.061224489795918366,0.02040816326530612,0,0,1,1,0.02040816326530612,0,1,-0.795918367346939,2.28,0
108,0,1,0,1,0,0,0,0,1,0.03669724770642202,0.009174311926605505,1,0,0,0,0.027522935779816515,2,1,5.275229357798166,6.08,1
39,0,0,0,0,0,0,0,0,0,0.05,0.0,0,0,1,0,0.0,0,0,-2.0,1.3900000000000001,1
80,0,0,0,0,0,0,0,0,0,0.04938271604938271,0.037037037037037035,1,0,1,0,0.037037037037037035,0,1,3.3703703703703702,3.6999999999999997,0
36,0,0,0,0,0,0,0,0,0,0.05405405405405406,0.02702702702702703,0,0,1,0,0.02702702702702703,1,1,1.2702702702702702,1.66,0
28,0,0,0,0,0,0,0,0,0,0.06896551724137931,0.034482758620689655,0,0,1,1,0.034482758620689655,0,0,-3.655172413793103,1.58,0
33,0,0,0,0,0,0,0,0,0,0.058823529411764705,0.0,0,0,1,0,0.0,2,0,-2.0,1.33,1
23,0,0,0,0,0,0,0,0,0,0.125,0.0,0,0,1,1,0.0,0,0,-4.0,1.73,0
77,0,0,0,0,0,0,0,0,0,0.02564102564102564,0.0641025641025641,1,0,1,0,0.0641025641025641,0,0,0.641025641025641,3.27,0
342,0,0,4,1,5,0,0,0,8,0.014577259475218658,0.01749271137026239,1,1,1,0,0.05539358600583091,0,0,2.053935860058309,12.52,1
38,0,0,0,0,0,0,0,0,0,0.05128205128205128,0.02564102564102564,0,0,0,0,0.02564102564102564,0,0,0.2564102564102564,1.68,1
73,0,0,0,0,0,0,0,0,0,0.02702702702702703,0.06756756756756757,0,0,1,1,0.06756756756756757,0,1,-0.32432432432432456,3.23,0
33,0,0,0,0,0,0,0,0,0,0.058823529411764705,0.0,0,0,1,1,0.0,0,0,-4.0,1.33,0
67,0,0,0,0,0,0,0,0,0,0.04411764705882353,0.014705882352941176,0,0,1,0,0.029411764705882353,0,0,-1.7058823529411764,2.4699999999999998,1
39,0,0,0,0,0,0,0,0,0,0.05,0.0,0,0,1,0,0.0,0,1,1.0,1.3900000000000001,0
24,0,0,0,0,0,0,0,0,0,0.08,0.0,0,0,1,0,0.0,0,0,-2.0,1.24,0
26,0,0,0,0,0,0,0,0,0,0.07407407407407407,0.0,0,0,1,1,0.0,0,0,-4.0,1.26,0
39,0,0,0,0,0,0,0,0,0,0.05,0.0,0,0,1,1,0.0,0,0,-4.0,1.3900000000000001,0
62,0,0,0,0,0,0,0,0,0,0.047619047619047616,0.015873015873015872,0,0,0,0,0.015873015873015872,2,1,3.1587301587301586,2.42,1
41,0,0,0,0,0,0,0,0,0,0.047619047619047616,0.023809523809523808,0,0,0,0,0.023809523809523808,1,1,3.238095238095238,1.7100000000000002,1
40,0,0,0,0,0,0,0,0,0,0.04878048780487805,0.0,0,0,0,0,0.0,0,0,0.0,1.4,1
51,0,0,0,0,0,0,0,0,0,0.057692307692307696,0.038461538461538464,0,0,1,1,0.038461538461538464,0,0,-3.6153846153846154,2.61,0
59,0,0,0,0,0,0,0,0,0,0.03333333333333333,0.05,0,0,1,1,0.05,0,1,-0.5,2.4899999999999998,0
50,0,0,0,0,0,0,0,0,0,0.058823529411764705,0.0,0,0,1,1,0.0,0,0,-4.0,2.0,0
52,0,0,0,0,0,0,0,0,0,0.03773584905660377,0.018867924528301886,0,0,0,0,0.018867924528301886,2,1,3.188679245283019,1.82,1
43,0,0,0,0,0,0,0,0,0,0.045454545454545456,0.022727272727272728,0,0,0,0,0.022727272727272728,0,1,3.2272727272727275,1.73,1
94,0,0,0,0,0,0,0,0,0,0.031578947368421054,0.042105263157894736,1,0,1,0,0.042105263157894736,1,1,3.421052631578947,3.6399999999999997,1
60,0,0,0,0,0,0,0,0,0,0.06557377049180328,0.0,0,0,1,1,0.0,0,1,-1.0,2.6,0
18,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.0,0,0,1,0,0.0,0,1,1.0,0.6799999999999999,0
204,0,1,2,0,0,0,0,0,0,0.00975609756097561,0.004878048780487805,1,0,1,0,0.02926829268292683,1,0,0.29268292682926855,5.4399999999999995,1
94,0,0,0,1,0,0,0,0,0,0.07368421052631578,0.0,1,1,0,0,0.010526315789473684,0,1,6.605263157894736,6.44,1
41,0,0,0,0,0,0,0,0,0,0.09523809523809523,0.023809523809523808,0,0,1,0,0.023809523809523808,1,1,1.2380952380952381,2.71,1
19,0,0,0,0,0,0,0,0,0,0.1,0.0,0,0,1,0,0.0,1,0,-2.0,1.19,1
35,0,0,0,0,0,0,0,0,0,0.05555555555555555,0.027777777777777776,0,0,0,0,0.027777777777777776,1,0,0.2777777777777778,1.6500000000000001,1
63,0,0,0,0,0,0,0,0,0,0.046875,0.0,0,0,0,0,0.0,1,0,0.0,2.13,1
53,0,0,0,0,0,0,0,0,0,0.037037037037037035,0.0,0,0,0,0,0.0,0,1,3.0,1.53,1
75,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.039473684210526314,0,0,0,0,0.039473684210526314,0,0,0.39473684210526316,3.65,1
35,0,0,0,0,0,0,0,0,0,0.05555555555555555,0.0,0,0,0,0,0.0,0,1,3.0,1.35,1
210,0,1,11,0,10,0,0,0,6,0.018957345971563982,0.004739336492890996,1,0,0,0,0.08530805687203792,1,0,2.853080568720379,12.799999999999999,1
44,0,0,0,0,0,0,0,0,0,0.022222222222222223,0.044444444444444446,0,0,1,1,0.044444444444444446,0,0,-3.5555555555555554,1.54,0
150,0,1,1,0,0,0,0,0,0,0.033112582781456956,0.0,1,1,1,0,0.006622516556291391,1,0,1.5662251655629138,5.4,1
39,0,0,0,0,0,0,0,0,0,0.075,0.025,0,0,0,0,0.025,0,1,3.25,2.19,1
64,0,0,0,0,0,0,0,0,0,0.03076923076923077,0.015384615384615385,0,0,1,0,0.015384615384615385,0,0,-1.8461538461538463,1.9400000000000002,1
106,0,1,1,0,0,0,0,0,0,0.037383177570093455,0.037383177570093455,1,0,1,0,0.04672897196261682,2,0,0.46728971962616805,5.66,1
34,0,0,0,0,0,0,0,0,0,0.05714285714285714,0.0,0,0,0,1,0.0,0,0,-2.0,1.34,1
65,0,0,0,0,0,0,0,0,0,0.030303030303030304,0.0,0,0,1,0,0.07575757575757576,0,0,-1.2424242424242424,1.65,0
60,0,0,0,0,0,0,0,0,0,0.04918032786885246,0.01639344262295082,0,0,1,1,0.01639344262295082,2,0,-3.836065573770492,2.4,1
25,0,0,0,0,0,0,0,0,0,0.038461538461538464,0.0,0,0,0,0,0.0,1,1,3.0,0.75,1
39,0,0,0,0,0,0,0,0,0,0.05,0.0,0,0,1,1,0.0,0,1,-1.0,1.3900000000000001,0
38,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.02564102564102564,0,0,1,1,0.02564102564102564,0,0,-3.7435897435897436,2.1799999999999997,0
